aX,aY,aZ,gX,gY,gZ
0.987,-0.093,0.035,2.808,6.165,0.244

-0.204,-1.413,-1.284,-141.785,-38.574,-20.691
-0.281,-1.276,-1.423,-73.242,-120.544,83.374
-0.573,-1.061,-1.069,-13.733,-168.640,129.578
-0.776,-0.922,-0.518,45.959,-238.953,170.044
-1.005,-0.853,-0.350,60.669,-261.475,205.688
-1.512,-0.876,-0.391,115.906,-318.481,221.191
-2.133,-1.323,0.592,107.361,-450.928,241.516
-2.603,-1.530,1.297,96.985,-521.057,331.482
-3.014,-1.038,2.391,44.189,-560.608,453.186
-2.866,0.610,3.360,-20.935,-518.066,625.793
-2.219,1.090,3.379,-64.453,-376.404,645.264
-1.863,0.977,2.097,-28.992,-130.615,419.556
-2.132,0.590,1.755,32.227,-124.512,392.639
-2.329,0.552,2.691,34.119,-154.114,431.030
-2.514,1.038,3.159,0.427,-99.548,541.077
-2.368,2.236,3.008,87.891,-26.855,564.209
-1.941,2.459,2.789,7.690,90.515,270.081
-1.431,1.018,1.692,-86.975,134.766,86.243
-1.194,0.363,1.533,-178.162,96.191,40.222
-0.916,0.840,1.932,-206.177,99.060,72.144
-0.802,1.191,1.974,-281.189,169.983,-12.329
-0.845,0.700,1.417,-329.346,228.394,-101.135
-0.649,0.119,0.916,-375.488,258.606,-164.612
-0.490,0.130,0.740,-475.403,250.732,-168.213
-0.413,0.308,0.591,-458.679,238.831,-176.575
-0.407,0.388,0.436,-407.471,244.385,-197.754
-0.572,0.375,0.023,-270.203,256.897,-217.773
-0.744,0.249,-0.609,-109.558,258.545,-252.014
-0.721,0.170,-1.007,-20.081,215.759,-251.038
-0.527,0.124,-1.123,-39.001,82.520,-203.369
-0.465,0.712,-0.619,-32.532,-68.481,-124.451
-0.569,1.027,-0.260,-26.367,-122.131,-145.996
-0.755,0.852,-0.137,29.419,-150.757,-265.991
-0.938,0.405,-0.301,90.515,-168.518,-347.839
-0.944,0.193,-0.336,90.271,-187.012,-367.859
-0.931,0.136,0.018,73.303,-218.994,-355.530
-1.038,0.225,0.508,49.133,-291.504,-404.358
-1.376,-0.081,1.225,7.935,-332.642,-489.136
-1.895,-0.333,2.046,-40.405,-394.531,-566.284
-2.096,-0.419,2.205,45.288,-261.230,-594.055
-2.552,-0.912,2.604,-61.279,-196.167,-656.738
-2.892,-1.500,2.887,74.829,-50.598,-676.941
-2.113,-2.009,2.445,203.369,140.503,-544.006
-0.948,-1.518,1.469,544.006,190.674,-303.223
-1.160,-1.580,1.047,478.149,266.724,-190.186
-0.845,-1.999,0.839,102.722,295.532,-249.634
-0.876,-2.104,0.965,202.820,246.765,-162.964
-1.432,-2.192,0.914,242.554,257.812,-93.140
-1.698,-2.418,0.543,333.130,292.480,-1.465
-1.656,-2.014,0.250,489.441,244.324,197.937
-1.581,-1.277,0.086,552.063,202.820,322.021
-1.235,-0.499,-0.199,373.657,169.312,343.201
-1.106,-0.673,-0.423,214.966,160.950,281.128
-1.070,-0.904,-0.784,75.684,169.495,271.240
-1.040,-0.826,-0.992,61.890,143.005,304.565
-0.732,-0.176,-1.056,172.913,53.772,349.365
-0.435,0.287,-0.842,221.741,-26.978,317.444
-0.222,0.470,-0.728,245.850,-42.114,246.765
-0.062,0.059,-0.867,172.485,-48.706,137.634
-0.081,-0.278,-0.891,118.652,-71.289,114.319
-0.123,-0.221,-0.936,102.905,-122.559,155.701
0.255,0.368,-0.375,145.752,-207.581,173.279
0.409,0.604,0.127,143.188,-248.413,160.950
0.391,0.565,0.169,50.476,-169.373,92.651
0.451,0.379,-0.163,58.105,-127.808,42.786
0.690,0.335,0.093,39.246,-165.955,22.095
0.839,0.366,0.378,16.724,-188.538,8.911
0.997,0.547,0.745,-9.216,-190.735,7.019
1.043,0.504,1.000,-34.912,-125.122,-23.621
1.085,0.011,0.709,-19.104,-39.368,-51.636
1.164,-0.047,0.482,-11.475,-22.034,-37.659
1.183,0.094,0.527,19.653,-17.151,-17.883
1.148,0.094,0.345,7.690,10.315,-16.785
1.160,0.003,0.076,-6.897,22.949,-15.564
1.163,-0.001,0.033,3.479,12.573,-13.367
1.160,-0.030,0.058,9.033,3.906,-16.785
1.120,-0.062,0.033,6.653,13.489,-6.042
1.090,-0.006,-0.081,9.338,9.277,-1.831
1.068,-0.131,-0.000,-11.475,-4.272,-5.554
1.049,-0.119,0.086,-11.353,-2.380,2.502
1.033,0.125,0.031,4.272,8.850,11.841
0.991,0.005,-0.009,-0.488,12.634,-1.343
0.966,0.007,-0.042,5.737,9.094,4.883
0.953,0.016,-0.008,4.822,8.850,2.075
0.921,-0.045,-0.049,8.484,11.841,0.000
0.930,-0.031,-0.051,1.953,10.315,5.127
0.947,0.024,-0.031,4.395,7.935,6.592
0.964,0.008,-0.034,5.615,9.033,2.563
0.968,0.115,-0.052,9.460,8.362,0.366
