aX,aY,aZ,gX,gY,gZ
0.978,-0.041,-0.076,0.061,2.869,-0.488

-0.453,0.522,1.968,96.436,-290.649,-6.592
-0.572,0.567,2.707,50.964,-322.815,-50.110
-0.600,0.268,3.143,28.625,-201.233,-110.168
-0.474,0.531,2.151,104.858,-43.091,-97.473
-0.465,0.485,1.600,109.009,-19.043,-143.005
-0.575,-0.195,1.894,63.721,-64.026,-227.112
-0.592,-0.478,2.192,37.537,-48.218,-227.234
-0.320,-0.096,2.306,40.588,-4.517,-180.664
-0.401,0.481,2.632,10.742,14.648,-197.083
-0.598,0.284,2.490,2.380,82.153,-268.005
-0.600,-0.378,1.843,-25.330,130.798,-352.173
-0.563,-0.458,1.944,-28.748,97.168,-338.501
-0.589,-0.476,2.032,-26.001,110.168,-346.191
-0.682,-0.863,2.129,-34.180,134.277,-371.643
-0.887,-1.469,2.176,-1.038,177.673,-353.455
-0.700,-1.915,1.607,14.648,262.329,-265.015
-0.494,-1.575,1.218,35.583,272.400,-154.785
-0.319,-0.530,1.115,56.946,250.916,-75.684
-0.393,-1.028,0.810,10.315,251.099,-147.522
-0.339,-1.469,0.692,13.916,233.643,-139.404
-0.207,-1.177,0.543,64.148,208.130,-55.054
-0.174,-1.116,0.483,39.734,202.942,-45.959
-0.076,-1.034,0.387,14.343,181.885,-26.794
0.013,-0.968,0.314,17.517,153.320,-23.315
0.065,-1.003,0.383,20.020,125.488,-25.696
-0.082,-1.174,0.484,36.804,101.868,-21.057
0.009,-1.123,0.668,10.132,102.966,1.709
-0.072,-0.988,0.571,59.204,138.367,38.208
-0.087,-0.850,0.312,90.088,147.278,64.148
-0.030,-0.676,0.192,86.548,114.075,92.346
-0.024,-0.632,0.262,107.666,94.910,100.952
-0.034,-0.640,0.483,85.327,98.572,113.159
-0.005,-0.542,0.412,105.408,120.056,131.653
0.013,-0.024,0.047,168.762,131.775,181.824
0.113,0.192,-0.179,153.870,113.770,180.603
0.252,0.184,-0.011,70.557,42.542,145.935
0.288,0.246,0.051,65.674,33.569,141.357
0.394,0.457,-0.117,91.431,27.893,136.719
0.466,0.487,-0.118,91.125,7.446,119.507
0.517,0.362,0.009,46.326,-2.197,97.046
0.570,0.510,-0.021,59.814,4.639,97.290
0.644,0.472,-0.143,54.016,0.732,76.172
0.943,0.941,0.017,56.458,-35.828,88.013
1.110,1.120,0.193,63.354,-45.715,93.384
1.245,1.070,0.406,55.603,-13.062,37.720
1.284,0.880,0.193,42.542,15.808,-10.864
1.346,0.558,0.186,12.756,15.137,-20.142
